artist,artist_id
Jeff Tweedy,2rDxtYUzTAYJJE3Bl3Z5IN
Geese,0WCo84qtCKfbyIf1lqQWB4
Piotr Kurek,0mneo6UHjcOtZBm1Tw8t67
Paul St. Hilaire,2z6qOkQVyn7h3XzUuNlRlM
Ø,0dgJbQ0bKPyUXco8hEXN7X
Frost Children,6R1kfr0GIWnwxY4zW11Vag
múm,4mw86zm4QZIL8SksdyE6OU
Cardi B,4kYSro6naA4h99UJvo89HB
Asher White,1TQhvHMVoECTNs3Xxo3RMv
Orcutt Shelley Miller,0m2UovS6OpaxRZ3e30plk1
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L
Kieran Hebden,4HcUiDJk4PN2Ac2b1ZJT3E
JADE,24b0qNYNgeOfpP5rbljIB3
Joan Shelley,4eR9k3I0YKCQUvvP2ojptw
Verses GT,4iJE0jzx9tLd3JE9TGhcpC
Rian Treanor,6un6trkuuP46AZM0kkY8Yx
The Jim Carroll Band,7jrNr1OwKCfNDfHkwOTJnc
Nine Inch Nails,0X380XXQSNBYuleKzav5UO
Wednesday,4j7DrazfBZLLD0OrVoAtEe
King Princess,6beUvFUlKliUYJdLOXNj9C
Anysia Kym,03546gvcoicKs6C10YdXvk
Lola Young,67FB4n52MgexGQIG8s0yUH
Maruja,71ISXR7gtIq5E2AdI3jGf0
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
mark william lewis,2r5elgyPQ19vDG3xSQn39k
The Hidden Cameras,6qJSWLT4bvL49hEyXxc3G9
Jens Lekman,7tzI4rSFTHafjF18ZrNZWx
Oli XL,3L3ejltt5dmjXkES4YSGKX
dolo2000,23JjxOmZ2pJYgyytD1lDtY
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
Liquid Mike,6WP8xxDLcPKNgdQWjU3BzN
Ben Bondy,7iWASaTHnteWNmrXH3IDCg
Phish,5wbIWUzTPuTxTyG6ouQKqz
David Byrne,20vuBdFblWUo2FCOvUzusB
Algernon Cadwallader,1BfYXNfaB5HBwHn4gxnEQE
La Dispute,7lQKE6HaKQcCsgLRMhsh5W
Titanic,0R4GqPzobzIMpRgEKJ4c5i
james K,25BObiRSDCMwVrBGIVaLIf
Flur,44vfrGSSsXFddb8qDq9gxC
Jehnny Beth,2WOMBqEsllg2ICn7D2L8ta
Justin Bieber,1uNFoZAHBGtllmzznpCI3s
Blood Orange,6LEeAFiJF8OuPx747e1wxR
Hayley Williams,6Rx1JKzBrSzoKQtmbVmBnM
Hot Chip,37uLId6Z5ZXCx19vuruvv5
Ghostface Killah,6FD0unjzGQhX3b6eMccMJe
Brian Dunne,3OAxV7SBURDucfRHHQlJ2V
Lucrecia Dalt,4LC4vkseYrSEDd6MjZvOO9
Saint Etienne,1N2FgBLehaq77UEdJhCt7f
Mariah the Scientist,7HO5fOXE4gh3lzZn64tX2E
Anna Domino,4RozeU8Gb3RQ9qqsEbf3JT
Slipknot,05fG473iIaoy82BF1aGhL8
Big Thief,5QdyldG4Fl4TPiOIeMNpBZ
Akasha System,0TuxD3IK2QvHwgvacDPk9Q
Ami Taf Ra,2KiesFSnD8ccUdEeZZOo4q
Greg Freeman,7naOvlP3zuvwVn7hiSeGwJ
The Beths,7DjwIxbe8kpw4pqnzAMoin
Stars of the Lid,36pCa1JHc6hlGbfEmLzJQc
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B
